DATE,OPEN,HIGH,LOW,CLOSE,TARGET,VOLUME,EMA_4,EMA_8,EMA_12,EMA_18,EMA_24,EMA_36,EMA_50,EMA_100,EMA_200,RSI_14,RSI_20,RSI_30,MACD,MACD_SIGNAL,BB_UPPER,BB_MIDDLE,BB_LOWER,BB_WIDTH,VWAP,ROC,%K,%D,VOLATILITY,PREV_GAIN_UP,PREV_GAIN_DOWN,AVG_VOLATILITY_3,PREV_GAIN_UP_3,PREV_GAIN_DOWN_3,ENTROPY_3,RVOL_3,AVG_VOLATILITY_7,PREV_GAIN_UP_7,PREV_GAIN_DOWN_7,ENTROPY_7,RVOL_7,AVG_VOLATILITY_10,PREV_GAIN_UP_10,PREV_GAIN_DOWN_10,ENTROPY_10,RVOL_10,AVG_VOLATILITY_20,PREV_GAIN_UP_20,PREV_GAIN_DOWN_20,ENTROPY_20,RVOL_20,AVG_VOLATILITY_30,PREV_GAIN_UP_30,PREV_GAIN_DOWN_30,ENTROPY_30,RVOL_30,FIB_236,FIB_382,FIB_50,FIB_618,FIB_100,FIB_1618,FIB_2618,FIB_4236,STD_2,STD_5,STD_10,STD_20,STD_30
14/11/2020,16320.04,16326.99,15670,16070.45,15957,59116.34718,15990.54133,15592.322,15234.64674,14755.94173,14346.36265,13710.40941,13187.69233,12116.08692,10985.76591,77.13279689,75.66441918,72.93908934,1010.114675,902.8917322,16648.75825,14482.728,12316.69775,4332.060497,10742.57777,18.59680994,95.15061112,94.80460924,3.233010839,0.011548719,0.021282131,4.39057425,0.032352391,0.012888488,1.098612289,0.885775584,5.439732895,0.028070021,0.027828413,1.945910149,0.891999938,5.898891209,0.035055865,0.026319702,2.302585093,0.793939135,5.298020846,0.029619837,0.025114725,2.995732274,0.936842455,4.679051237,0.028340281,0.019990737,3.401197382,1.061291234,16076.8754,16153.9123,16216.175,16278.4377,16480,16806.0877,17333.7377,18187.4754,20.39295957,500.1115646,641.3115902,1111.150072,1506.611616
15/11/2020,16069.56,16180,15774.72,15957,16713.57,43596.84151,16022.5048,15698.57267,15363.23186,14894.31102,14484.28964,13837.97917,13300.74166,12194.39114,11036.35979,72.55931591,72.27429617,70.55058856,1001.96513,922.7064117,16798.27401,14634.809,12471.34399,4326.930028,10767.34761,18.60662156,87.53253474,93.72301863,4.088186703,0.000425857,0.041483089,4.281932314,0.017942888,0.026180805,1.098612289,0.748293716,4.665111332,0.026539158,0.021447869,1.945910149,0.750098984,5.788762282,0.033419345,0.026782022,2.302585093,0.642938897,5.325131069,0.028732516,0.026320902,2.995732274,0.722460453,4.709136621,0.027772203,0.020878551,3.401197382,0.824889885,15825.04964,15920.97018,15998.495,16076.01982,16326.99,16733.00982,17389.99982,18453.00964,176.953472,437.0625514,471.2025033,1109.834135,1508.570584
16/11/2020,15957,16880,15864,16713.57,17659.38,81300.67592,15996.30288,15756.00096,15454.5808,15006.17302,14602.10647,13952.52083,13404.90865,12268.89824,11085.32138,70.51794216,70.7613391,69.48350014,975.1116101,933.1874514,16888.34333,14780.0495,12671.75567,4216.587665,10785.2874,13.78732744,84.07890531,88.92068372,2.539825782,0.006872621,0.018690665,3.287007775,0.006282399,0.027151961,1.098612289,0.73310991,4.154540507,0.019502883,0.023006304,1.945910149,0.57610145,4.98024462,0.022752047,0.028293124,2.302585093,0.532106158,5.270616419,0.028273477,0.02621885,2.995732274,0.538507376,4.693335026,0.027896931,0.020593448,3.401197382,0.609811023,15870.36608,15929.53696,15977.36,16025.18304,16180,16430.46304,16835.74304,17491.48608,80.22126433,261.4955627,480.5880854,1081.531916,1478.130989
17/11/2020,16713.08,17858.82,16538,17659.38,17776.12,115221.4031,16283.20973,15968.79408,15648.27145,15185.89902,14771.02355,14101.76674,13534.66007,12356.91154,11141.32385,75.47351589,74.50742289,72.36685416,1003.313307,947.2126225,17133.05734,14933.9195,12734.78166,4398.27567,10821.70562,18.16712516,95.37052748,88.99398918,6.07889278,0.057842953,0.00586233,4.235635088,0.02171381,0.022012028,1.098612289,1.325454624,4.058861595,0.024397617,0.017383264,1.945910149,1.133553351,5.078503553,0.026163158,0.026083497,2.302585093,1.044984434,5.292436385,0.028341799,0.026388003,2.995732274,1.00392084,4.852708505,0.029580078,0.020598603,3.401197382,1.106782581,16103.776,16252.112,16372,16491.888,16880,17507.888,18523.888,20167.776,534.9757774,290.5121915,577.6543573,1128.133906,1471.617427
18/11/2020,17659.38,18476.93,17214.45,17776.12,17802.82,149019.7881,16833.67784,16344.47984,15957.67276,15446.26544,15002.09206,14294.07016,13696.4138,12461.91092,11206.18013,79.99952927,78.18532333,75.3757324,1089.424115,975.6549209,17514.23095,15153.5685,12792.90605,4721.324906,10880.30086,13.27361992,95.3980553,91.61582936,7.479424532,0.068553492,0.010586528,5.366047698,0.044423022,0.011713174,1.098612289,1.439554236,4.765436078,0.032964585,0.016469725,1.945910149,1.451691177,4.875392242,0.031904317,0.018527461,2.302585093,1.455185585,5.300264573,0.030950621,0.024014784,2.995732274,1.404758818,5.05601203,0.031440646,0.020910093,3.401197382,1.505741884,16849.71352,17042.55324,17198.41,17354.26676,17858.82,18675.08676,19995.90676,22132.99352,668.7886647,687.6604867,723.7303633,1210.994287,1514.345975
19/11/2020,17777.75,18179.8,17335.65,17802.82,18655.67,93009.56101,17210.6547,16662.6221,16237.43388,15691.51329,15224.0143,14482.28907,13856.40228,12567.14278,11271.55267,80.47837646,78.58670897,75.71339284,1153.78735,1011.281407,17856.56974,15369.5895,12882.60926,4973.960479,10959.93918,14.09634966,84.0120729,91.59355189,7.102112272,0.04629551,0.025846309,6.886809861,0.057563985,0.014098389,1.098612289,1.293792177,5.149436044,0.033341892,0.019932607,1.945910149,1.665974111,4.974221313,0.030921214,0.02033393,2.302585093,1.702555416,5.387030376,0.031846361,0.023969602,2.995732274,1.738254533,5.174741174,0.032054084,0.021493526,3.401197382,1.86488748,17512.39528,17696.71736,17845.69,17994.66264,18476.93,19257.14264,20519.62264,22562.31528,82.54764564,856.6613573,862.5851142,1275.793944,1552.286451
20/11/2020,17802.81,18815.22,17740.04,18655.67,18703.8,88423.01849,17447.52082,16915.99941,16478.26251,15913.7561,15430.31876,14661.77722,14011.16376,12670.81956,11336.54041,80.59282108,78.68114655,75.791933,1193.195727,1047.664271,18137.96017,15581.7255,13025.49083,5112.469331,11008.3717,20.14077188,83.68842721,87.69951847,4.741664523,0.022615348,0.025502361,6.441067109,0.04582145,0.020645066,1.098612289,0.781044354,5.037588204,0.0305935,0.021321916,1.945910149,1.055288224,4.773523249,0.030824767,0.018361805,2.302585093,1.082381842,5.419476468,0.032180848,0.023945864,2.995732274,1.070957043,5.231819803,0.031994072,0.022132745,3.401197382,1.149154963,17534.8694,17658.1153,17757.725,17857.3347,18179.8,18701.4847,19545.6347,20911.4694,18.87975106,819.5027654,903.6791729,1311.320715,1574.90076
21/11/2020,18655.66,18965.9,18308.58,18703.8,18414.43,75577.45839,17930.78049,17302.59288,16813.24828,16202.37861,15688.34686,14877.66332,14193.30125,12789.33145,11409.36757,83.84972817,81.43419035,78.12903439,1278.507182,1093.832853,18571.98884,15824.959,13077.92916,5494.059671,11058.01685,20.55282357,96.4314471,88.0439824,5.763288051,0.056867989,0.003538323,5.869021615,0.041926282,0.018295665,1.098612289,0.802745211,5.399056378,0.037067681,0.018787086,1.945910149,0.982965354,5.096511739,0.035653094,0.017017507,2.302585093,0.997951082,5.458021554,0.03303348,0.023568778,2.995732274,1.005934894,5.076868882,0.030229778,0.022186053,3.401197382,1.104386205,17993.78248,18150.75876,18277.63,18404.50124,18815.22,19479.68124,20554.86124,22294.50248,603.0560183,689.5744438,1002.047561,1409.196572,1679.451771
22/11/2020,18703.8,18750,17610.86,18414.43,18368,81645.73778,18239.9883,17613.97224,17104.10239,16465.68613,15929.58311,15084.48152,14370.18356,12906.44964,11481.94898,84.01278673,81.57552996,78.25161196,1334.616189,1141.98952,18919.5083,16072.074,13224.6397,5694.868608,11101.38381,22.02048353,93.85033388,91.32340273,3.514366065,0.016629806,0.018957232,4.673106213,0.032037714,0.015999305,1.098612289,0.882192684,5.317082001,0.039382531,0.015569107,1.945910149,0.818762261,5.006537095,0.032950638,0.018752616,2.302585093,0.855768253,5.527646771,0.033487913,0.023825615,2.995732274,0.841002408,5.063719416,0.029729785,0.02254802,3.401197382,0.941776048,18463.70752,18559.67624,18637.24,18714.80376,18965.9,19372.12376,20029.44376,21092.98752,34.03304938,514.4879015,1051.027137,1460.702978,1767.145856
23/11/2020,18413.88,18766,18000,18368,19160.01,82961.50609,18309.76498,17791.85174,17305.69125,16670.81706,16128.37086,15264.47873,14528.78146,13015.51856,11550.92889,78.8577642,77.8259019,75.61578798,1340.283289,1181.648274,19089.44186,16315.327,13541.21214,5548.229721,11145.2239,20.37770286,86.74465671,92.3421459,6.186126858,0.002470086,0.062060569,5.154593658,0.025322627,0.028185375,1.098612289,0.99711373,5.837982154,0.038753598,0.021764808,1.945910149,0.835314431,5.07268984,0.029012238,0.023380954,2.302585093,0.946504533,5.602643327,0.033362498,0.024782233,2.995732274,0.899976158,5.190579753,0.029660861,0.023964823,3.401197382,1.004352877,17879.69704,18046.01148,18180.43,18314.84852,18750,19453.98852,20593.12852,22436.25704,204.6154893,452.7573322,1062.604668,1423.090897,1810.506596
