FILE,STRATEGY,TP_SL, END_BALANCE__1 , END_BALANCE__2 , END_BALANCE__3 ,WIN_RATE__1,WIN_RATE__2,WIN_RATE__3, NBR_TRADES__1 , NBR_TRADES__2 , NBR_TRADES__3 , MAX_END_BALANCE 
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_10,TP_AI_1  --  SL_ATR_1," 1,113,202 ", 1 ," 1,361,874 ",84%,48%,73%, 104 , 146 , 146 ," 1,361,874 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,1  --  5  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 182 ," 36,148 ", 313 ,62%,53%,53%, 100 , 238 , 238 ," 36,148 "
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_2  --  SL_ATR_2, 113 ," 23,017 ", 106 ,82%,82%,82%, 17 , 17 , 17 ," 23,017 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 104 ," 22,240 ", 118 ,86%,57%,82%, 36 , 40 , 40 ," 22,240 "
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  ROC_3,TP_AI_1  --  SL_ATR_1, 186 ," 20,432 ", 167 ,88%,66%,85%, 69 , 79 , 79 ," 20,432 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 66 ," 19,594 ", 120 ,83%,53%,79%, 36 , 43 , 43 ," 19,594 "
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  4  --  ROC_1,TP_AI_2  --  SL_ATR_2, 186 ," 16,972 ", 72 ,68%,54%,55%, 124 , 291 , 291 ," 16,972 "
XRPUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  10  --  STOCH_40,TP_AI_1  --  SL_ATR_1, 169 ," 9,973 ", 183 ,90%,61%,83%, 49 , 59 , 59 ," 9,973 "
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  5  --  STOCH_40,TP_AI_2  --  SL_ATR_2, 198 ," 9,382 ", 269 ,64%,51%,52%, 112 , 265 , 265 ," 9,382 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_1  --  SL_AI_1, 459 ," 6,144 ", 328 ,84%,57%,81%, 146 , 154 , 154 ," 6,144 "
DOGEUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  4  --  AVG_VOL_P_GAIN_2_1,TP_AI_2  --  SL_ATR_2, 106 ," 6,030 ", 73 ,87%,60%,77%, 161 , 187 , 187 ," 6,030 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  AVG_VOL_P_GAIN_3_2,TP_AI_1  --  SL_ATR_1, 252 ," 3,893 ", 168 ,92%,57%,84%, 131 , 158 , 158 ," 3,893 "
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  ROC_3,TP_AI_2  --  SL_ATR_2, 318 ," 2,261 ", 282 ,81%,51%,62%, 21 , 45 , 45 ," 2,261 "
ADAUSDT -- 4H -- amazon/chronos-t5-large,1  --  3  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 77 , 914 , 189 ,87%,54%,80%, 254 , 309 , 309 , 914 
ADAUSDT -- 4H -- amazon/chronos-t5-large,1  --  10  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 77 , 879 , 166 ,87%,54%,80%, 252 , 310 , 310 , 879 
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  3  --  AVG_VOL_P_GAIN_3_2,TP_AI_1  --  SL_AI_1, 367 , 812 , 204 ,86%,52%,79%, 300 , 349 , 349 , 812 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  5  --  ROC_3,TP_AI_2  --  SL_ATR_2, 748 , -   , 346 ,77%,52%,61%, 124 , 261 , 261 , 748 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  3  --  ROC_3,TP_AI_2  --  SL_ATR_2, 340 , -   , 416 ,78%,56%,68%, 97 , 169 , 169 , 416 
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  STOCH_10,TP_AI_1  --  SL_ATR_1," 1,113,202 ", 1 ," 1,174,756 ",84%,48%,72%, 104 , 147 , 147 ," 1,174,756 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  10  --  STOCH_10,TP_AI_1  --  SL_ATR_1," 1,113,202 ", 1 ," 1,174,756 ",84%,48%,72%, 104 , 147 , 147 ," 1,174,756 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  3  --  STOCH_10,TP_AI_1  --  SL_ATR_1," 872,910 ", 1 ," 1,040,268 ",83%,48%,72%, 102 , 143 , 143 ," 1,040,268 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_10,TP_AI_1  --  SL_AI_1," 153,862 ", 1 ," 88,832 ",73%,48%,71%, 126 , 146 , 146 ," 153,862 "
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_20,TP_AI_1  --  SL_ATR_1," 101,989 ", 1 ," 135,365 ",81%,46%,73%, 74 , 95 , 95 ," 135,365 "
